海岸番号,海岸,エリア,市町,調査延長m,緯度,経度,季節,分類番号,分類,体積L,重量Kg
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,8,その他プラスチック類,188.360,2.114
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,9,発泡スチロール製フロート,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,夏,10,その他（金属・ゴム・木・ガラス・陶器）,8.500,0.382
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,1,ペットボトル,7.000,0.318
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,2,プラスチックボトル,0.600,0.072
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,3,食品プラスチック容器,0.200,0.078
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,4,食品袋,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,5,ライター,0.040,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,6,産廃系,2.650,0.318
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,7,カキ養殖用バルブ,61.868,4.828
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,8,その他プラスチック類,2.486,0.696
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,9,発泡スチロール製フロート,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,春,10,その他（金属・ゴム・木・ガラス・陶器）,1.200,0.138
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,1,ペットボトル,0.500,0.033
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,2,プラスチックボトル,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,3,食品プラスチック容器,0.166,0.003
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,4,食品袋,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,5,ライター,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,6,産廃系,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,7,カキ養殖用バルブ,4.579,0.770
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,8,その他プラスチック類,1.435,0.093
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,9,発泡スチロール製フロート,0.000,0.000
3,大奈佐美島,西部,江田島市,140,34.275,132.372,秋,10,その他（金属・ゴム・木・ガラス・陶器）,0.306,0.079
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,1,ペットボトル,29.200,1.088
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,2,プラスチックボトル,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,3,食品プラスチック容器,9.750,0.138
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,4,食品袋,0.662,0.032
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,5,ライター,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,6,産廃系,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,7,カキ養殖用バルブ,7.286,0.544
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,8,その他プラスチック類,17.997,0.800
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,9,発泡スチロール製フロート,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,冬,10,その他（金属・ゴム・木・ガラス・陶器）,1.400,0.092
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,1,ペットボトル,8.600,0.784
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,2,プラスチックボトル,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,3,食品プラスチック容器,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,4,食品袋,0.010,0.026
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,5,ライター,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,6,産廃系,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,7,カキ養殖用バルブ,17.275,1.244
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,8,その他プラスチック類,1.012,0.428
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,9,発泡スチロール製フロート,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,夏,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,春,1,ペットボトル,3.600,0.222
4,切串海岸,西部,江田島市,210,34.287,132.468,春,2,プラスチックボトル,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,春,3,食品プラスチック容器,0.040,0.010
4,切串海岸,西部,江田島市,210,34.287,132.468,春,4,食品袋,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,春,5,ライター,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,春,6,産廃系,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,春,7,カキ養殖用バルブ,15.500,1.588
4,切串海岸,西部,江田島市,210,34.287,132.468,春,8,その他プラスチック類,24.646,0.708
4,切串海岸,西部,江田島市,210,34.287,132.468,春,9,発泡スチロール製フロート,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,春,10,その他（金属・ゴム・木・ガラス・陶器）,2.600,0.280
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,1,ペットボトル,21.800,0.462
